Filename,Number of Characters,File Size
Att_Is_All_you_Need_output.txt,"37,510",0.04 MB
Brocas_brain_carl_sagan_output.txt,"22,928",0.02 MB
Brothers_Karamazov_output.txt,"1,894,399",1.81 MB
Crime_and_Punishment_T_output.txt,"1,107,680",1.06 MB
Crystallography_of_Hyperbolic_Lattices_output.txt,"97,661",0.09 MB
Euclids_Elements_output.txt,"1,000,279",0.95 MB
Group_Invariant_Quantum_Machine_Learning_output.txt,"99,886",0.10 MB
herman-melville-moby-dick_output.txt,"1,032,275",0.98 MB
Herman_Melville_Moby_Dick_output.txt,"1,221,724",1.17 MB
Isaac-Newton-Principia-English-1846_output.txt,"1,381,617",1.32 MB
Large_language_models_in _bioinformatics_applications_and_perspectives_output.txt,"114,089",0.11 MB
Machines_Logic_and_Quantum_Physics_output.txt,"36,915",0.04 MB
Mamba_Linear_Time_Sequence_output.txt,"123,855",0.12 MB
on_The_Electrodynamics_of_moving_bodies_Albert_Einstein_output.txt,"40,971",0.04 MB
on_The_Electrodynamics_of_moving_bodies_at_low_velocities_output.txt,"56,782",0.05 MB
SynHIN_Generating_Synthetic_Heterogeneous_Information_output.txt,"36,497",0.03 MB
The_Fabric_of_Reality_output.txt,"782,237",0.75 MB
the_hitchhiker_s_guide_to_the_galaxy_output.txt,"264,797",0.25 MB
The_Redshift_Evolution_of_the_M-M_Relation for JWST_SMB_output.txt,"33,526",0.03 MB
The_Three_Musketeers_output.txt,"1,254,573",1.20 MB
TSawyer_output.txt,"368,031",0.35 MB
Universal_Training_Algo_Quantum_DL_output.txt,"451,467",0.43 MB
