Text: HERMAN MELVILLE, Font: AGaramondPro-Bold, Size: 16.93600082397461
Text: MOBY, Font: AGaramondPro-Bold, Size: 59.7760009765625
Text: DICK, Font: AGaramondPro-Bold, Size: 59.7760009765625
Text: CONTENTS, Font: AGaramondPro-Regular, Size: 17.21500015258789
Text: I., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: Loomings, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: II., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e carpet-bag, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: III., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e Spouter-Inn, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: IV., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e counterpane, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: V., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e street, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: VI., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e chapel, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: VII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e pulpit, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: VIII., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: e sermon, Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: , Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: IX., Font: AGaramondPro-Bold, Size: 10.909000396728516
Text: A bosom friend, Font: AGaramondPro-Bold, Size: 10.909000396728516
