Filename,Number of Characters,File Size
Att_Is_All_you_Need_otro_new_output.txt,"137,826",0.13 MB
Brocas_brain_carl_sagan_otro_new_output.txt,"78,171",0.08 MB
Brothers_Karamazov_otro_new_output.txt,"3,915,783",3.80 MB
Crime_and_Punishment_T_otro_new_output.txt,"2,065,664",2.02 MB
Crystallography_of_Hyperbolic_Lattices_otro_new_output.txt,"541,298",0.53 MB
Euclids_Elements_otro_new_output.txt,"7,403,065",7.84 MB
Group_Invariant_Quantum_Machine_Learning_otro_new_output.txt,"636,565",0.62 MB
herman-melville-moby-dick_otro_new_output.txt,"2,015,756",1.96 MB
Herman_Melville_Moby_Dick_otro_new_output.txt,"2,310,289",2.26 MB
Isaac-Newton-Principia-English-1846_otro_new_output.txt,"15,578,630",15.15 MB
Large_language_models_in _bioinformatics_applications_and_perspectives_otro_new_output.txt,"244,447",0.24 MB
Machines_Logic_and_Quantum_Physics_otro_new_output.txt,"94,404",0.09 MB
Mamba_Linear_Time_Sequence_otro_new_output.txt,"407,966",0.40 MB
on_The_Electrodynamics_of_moving_bodies_Albert_Einstein_otro_new_output.txt,"242,767",0.24 MB
on_The_Electrodynamics_of_moving_bodies_at_low_velocities_otro_new_output.txt,"294,036",0.29 MB
SynHIN_Generating_Synthetic_Heterogeneous_Information_otro_new_output.txt,"101,849",0.10 MB
The_Fabric_of_Reality_otro_new_output.txt,"1,247,208",1.21 MB
the_hitchhiker_s_guide_to_the_galaxy_otro_new_output.txt,"549,691",0.53 MB
The_Redshift_Evolution_of_the_M-M_Relation for JWST_SMB_otro_new_output.txt,"150,393",0.15 MB
The_Three_Musketeers_otro_new_output.txt,"2,559,556",2.51 MB
TSawyer_otro_new_output.txt,"701,733",0.68 MB
Universal_Training_Algo_Quantum_DL_otro_new_output.txt,"1,884,962",1.84 MB
